,Tipo,SKU,"GTIN, UPC, EAN o ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Anchura (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Marcas,Datos personalizados de Blocksy,Imágenes de variación de Blocksy,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2,Atributo por defecto 1,Atributo por defecto 2
,simple,IUKU0015,,Cable Tejido USB-C a USB-C (1m),1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Diseñado para iPhone 15 y 16 en adelante. Con una longitud de 1 metro y un revestimiento reforzado tipo cordón. Ofrece mayor resistencia y una sensación premium. Soporta hasta 60 watts de potencia, garantizando una carga rápida y segura. Una alternativa duradera y de alta calidad.</span>",,,taxable,,1,9,,0,0,,,,,0,,,199,CARGADOR,,,"https://iuku.store/wp-content/uploads/2025/03/C-Cargadores-21.jpeg, https://iuku.store/wp-content/uploads/2025/03/C-Cargadores-23.jpeg, https://iuku.store/wp-content/uploads/2025/03/C-Cargadores-19.jpeg, https://iuku.store/wp-content/uploads/2025/03/C-Cargadores-24.jpeg, https://iuku.store/wp-content/uploads/2025/03/C-Cargadores-20.jpeg",,,,,,,,,0,,[],,,,,,,,,,,
,simple,IUKU0016,,Cable USB-C a Lightning (1m),1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Diseño alternativo premium al original de Apple. Con textura de goma de alta calidad, ofreciendo la misma sensación y funcionalidad que el cable oficial. Soporta hasta 30 watts de potencia para una carga rápida y eficiente</span>",,,taxable,,1,7,,0,0,,,,,0,,,199,CARGADOR,,,"https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-17.jpeg, https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-15.jpeg, https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-18.jpeg, https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-14.jpeg",,,,,,,,,0,,,,,,,,,,,,,
,simple,IUKU0014,,Cartera de lujo iuku,1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Experimenta la elegancia y funcionalidad. Diseñada para quienes buscan un accesorio distinguido.</span>\n\n\n\n<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Con un formato tipo tríptico, ofrece múltiples ranuras para organizar tus tarjetas esenciales, mientras que su compatibilidad con MagSafe asegura un ajuste perfecto y seguro. Elegancia y practicidad en cada detalle.</span>",,,taxable,,1,1,,notify,0,,,,,0,,,399,CARTERA,,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9293-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9295-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9296-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9319-scaled.jpg",,,,,,,,,0,,,,,,,,,,,,,
,simple,IUKU0017,,MagSafe,1,0,visible,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Conecta y carga con facilidad gracias a nuestro cargador MagSafe. Su sistema magnético asegura un ajuste perfecto y sin interrupciones, brindando una experiencia práctica y confiable. Con un cable de 1 metro y textura de goma, soporta hasta 30 watts de potencia, ofreciendo la solución perfecta para quienes buscan comodidad, eficiencia y estilo.</span>",,,,taxable,,1,7,,notify,0,,,,,0,,299,349,CARGADOR,,,"https://iuku.store/wp-content/uploads/2025/03/Cargadores-9.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-10.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-8.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-12.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-11.jpeg",,,,,,,,,0,,,,,,,,,,,,,
,simple,IUKU0013,,Tarjetero Transparente magsafe iuku,1,0,visible,,"<span class=""OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none"">Fabricado en plástico rígido. Su acabado completamente transparente permite lucir diseño de tus tarjetas; incluye un clip plegable que funciona como base o soporte siendo un accesorio práctico para que disfrutes de tu contenido favorito.</span>",,,taxable,,1,5,,notify,0,,,,,0,,199,249,CARTERA,,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9287-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9289-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9588.png, https://iuku.store/wp-content/uploads/2025/03/IMG_9286-scaled.jpg",,,,,,,,,0,,,,,,,,,,,,,
,variable,IUKU0009,,Adaptador de Carga Samsung,1,0,visible,"Diseñado para alcanzar la carga más rápida que los iPhone permiten, este cargador combina un cubo USB-C y un cable USB-C de un metro, ofreciendo confiabilidad y rendimiento excepcional.",,,,taxable,,1,,,0,0,,,,,0,,,,CARGADOR,,,"https://iuku.store/wp-content/uploads/2025/03/Cargadores-6.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-7.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-5.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-4.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-2.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/Cargadores-3.jpeg",,,,,,,,,0,,,,Voltaje,"25w, 45w",0,0,Color,"Blanco, Negro",0,0,,
,variable,IUKU0010,,Cartera Tejido Fino,1,0,visible,"Confeccionada en vinipiel, con un diseño minimalista y compatibilidad MagSafe. Ideal para quienes aprecian la estética Apple sin el alto costo. Disfruta de la misma calidad a una fracción del precio.",,,,taxable,,1,,,0,0,,,,,0,,,,CARTERA,,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9300-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9301-scaled.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_7202.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_9302-scaled.jpg",,,,,,,,,0,,,,Color,"Negro, Cafe, Azul, Purpura, Rosa",0,0,,,,,,
,variable,IUKU0002,,Funda con marco de metal transparente magsafe,1,0,visible,"Fabricada con plástico grueso y firme. Los bordes rígidos absorben impactos y protegen contra caídas, mientras que el interior transparente destaca el diseño original del dispositivo. El módulo de la cámara cuenta con un elegante borde metálico para mayor protección y estilo. Compatible con MagSafe; ideal para trabajos comprometedores sin sacrificar la estética.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-2.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-13.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-4.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-8.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-14.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-5.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-12.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-3.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-29.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-18.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-17.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/Marco-de-metal-23.jpeg, https://iuku.store/wp-content/uploads/2025/03/IMG_0508.jpg, https://iuku.store/wp-content/uploads/2025/03/IMG_0507.jpg",,,,,,,,,0,,,,Color,"Blanco, Negro, Gris",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,,
,variable,IUKU0004,,Funda con soporte de anillo magsafe mate,1,0,visible,"Fabricada con plástico flexible de textura gomosa, proporciona un agarre seguro y cómodo. Los bordes de goma absorben impactos, garantizando resistencia a caídas, mientras que la parte trasera mate añade un toque moderno y discreto. Incluye un innovador anillo magnético MagSafe plegable de metal, integrado mediante una bisagra robusta permitiendo colocar el iPhone en posición horizontal y vertical sobre una superficie para disfrutar de videos o videollamadas. Una funda diseñada para quienes buscan practicidad, protección y un diseño todo en uno.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-14.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-5.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-13.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-6.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-23.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-3.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-9.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-12.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-17.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-20.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-7.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-2.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-11.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-19.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-24.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-4.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-15.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-18.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-25.jpeg, https://iuku.store/wp-content/uploads/2025/03/Anillo-desplegable-1.jpeg",,,,,,,,,0,,,,Color,"Negro, Gris, Gold",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,,
,variable,IUKU0003,,Funda mate trasucida magsafe,1,0,visible,"Fabricada con plástico flexible con textura gomosa, ofrece una superficie adherente y cómoda al tacto. Los bordes de goma están diseñados para absorber impactos, proporcionando una protección contra caídas. La parte trasera presenta un acabado mate ahumado, que combina estilo moderno y funcionalidad. Una opción ultra resistente para quienes buscan durabilidad sin renunciar a un diseño práctico y elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,"https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-13.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-16.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-19.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-9.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-7.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-6.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-17.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-12.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-14.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-15.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-8.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-18.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-20.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-10.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-11.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-25.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-23.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-5.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-4.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-1.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-27.jpeg, https://iuku.store/wp-content/uploads/2025/03/Mate-de-Goma-26.jpeg",,,,,,,,,0,,,,Color,"Negro, Gris, Azul, Rosa",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,,
