ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿En inventario?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Brands,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
2000,variable,IUKU0000,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,"Fabricada en plástico rígido ultradelgado con acabado mate traslúcido. Diseñado para permitir el paso de luz, revelando sutilmente los objetos detrás sin ser completamente transparente. Compatible con MagSafe; ideal para usar en oficina, salidas casuales; pensada para vestir elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,https://iuku.store/wp-content/uploads/2025/02/IMG_6249-1.jpg,,,,,,,,,0,,Color,"Blanco, Negro",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0
2001,variation,IUKU0001,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 12 / 12 Pro",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,1,,Color,Blanco,,0,Modelo,iPhone 12 / 12 Pro,,0
2002,variation,IUKU0002,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 12 Pro Max",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,2,,Color,Blanco,,0,Modelo,iPhone 12 Pro Max,,0
2003,variation,IUKU0003,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 / 14",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,3,,Color,Blanco,,0,Modelo,iPhone 13 / 14,,0
2004,variation,IUKU0004,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,4,,Color,Blanco,,0,Modelo,iPhone 13 Pro,,0
2005,variation,IUKU0005,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 Pro Max",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,5,,Color,Blanco,,0,Modelo,iPhone 13 Pro Max,,0
2006,variation,IUKU0007,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Pro",1,0,visible,,,,,taxable,parent,1,9,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,6,,Color,Blanco,,0,Modelo,iPhone 14 Pro,,0
2007,variation,IUKU0008,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,7,,Color,Blanco,,0,Modelo,iPhone 14 Pro Max,,0
2008,variation,IUKU0009,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,8,,Color,Blanco,,0,Modelo,iPhone 14 Plus,,0
2009,variation,IUKU0010,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,id:2000,,,,,,9,,Color,Blanco,,0,Modelo,iPhone 15,,0
