ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,¿Está destacado?,Visibilidad en el catálogo,Descripción corta,Descripción,Día en que empieza el precio rebajado,Día en que termina el precio rebajado,Estado del impuesto,Clase de impuesto,¿Existencias?,Inventario,Cantidad de bajo inventario,¿Permitir reservas de productos agotados?,¿Vendido individualmente?,Peso (kg),Longitud (cm),Ancho (cm),Altura (cm),¿Permitir valoraciones de clientes?,Nota de compra,Precio rebajado,Precio normal,Categorías,Etiquetas,Clase de envío,Imágenes,Límite de descargas,Días de caducidad de la descarga,Superior,Productos agrupados,Ventas dirigidas,Ventas cruzadas,URL externa,Texto del botón,Posición,Brands,Nombre del atributo 1,Valor(es) del atributo 1,Atributo visible 1,Atributo global 1,Nombre del atributo 2,Valor(es) del atributo 2,Atributo visible 2,Atributo global 2
2000,variable,IUKU0001,,Funda ultrafina mate magsafe translúcida rigida,1,0,visible,"Fabricada en plástico rígido ultradelgado con acabado mate traslúcido. Diseñado para permitir el paso de luz, revelando sutilmente los objetos detrás sin ser completamente transparente. Compatible con MagSafe; ideal para usar en oficina, salidas casuales; pensada para vestir elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,https://iuku.store/wp-content/uploads/2025/02/IMG_6249-1.jpg,,,,,,,,,0,,Color,"Blanco, Negro",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0
2033,variable,IUKU0002,,Funda con marco de metal transparente magsafe,1,0,visible,"Fabricada con plástico grueso y firme. Los bordes rígidos absorben impactos y protegen contra caídas, mientras que el interior transparente destaca el diseño original del dispositivo. El módulo de la cámara cuenta con un elegante borde metálico para mayor protección y estilo. Compatible con MagSafe; ideal para trabajos comprometedores sin sacrificar la estética.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,https://iuku.store/wp-content/uploads/2025/02/IMG_9262-scaled.jpeg,,,,,,,,,0,,Color,"Blanco, Negro, Gris",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0
2082,variable,IUKU0003,,Funda mate trasucida magsafe,1,0,visible,"Fabricada con plástico flexible con textura gomosa, ofrece una superficie adherente y cómoda al tacto. Los bordes de goma están diseñados para absorber impactos, proporcionando una protección contra caídas. La parte trasera presenta un acabado mate ahumado, que combina estilo moderno y funcionalidad. Una opción ultra resistente para quienes buscan durabilidad sin renunciar a un diseño práctico y elegante.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,https://iuku.store/wp-content/uploads/2025/02/IMG_6305.jpg,,,,,,,,,0,,Color,"Negro, Gris, Azul, Rosa",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0
2118,variable,IUKU0004,,Funda con soporte de anillo magsafe mate,1,0,visible,"Fabricada con plástico flexible de textura gomosa, proporciona un agarre seguro y cómodo. Los bordes de goma absorben impactos, garantizando resistencia a caídas, mientras que la parte trasera mate añade un toque moderno y discreto. Incluye un innovador anillo magnético MagSafe plegable de metal, integrado mediante una bisagra robusta permitiendo colocar el iPhone en posición horizontal y vertical sobre una superficie para disfrutar de videos o videollamadas. Una funda diseñada para quienes buscan practicidad, protección y un diseño todo en uno.",,,,taxable,,1,,,0,0,,,,,0,,,,FUNDA,,,https://iuku.store/wp-content/uploads/2025/02/S348a8b54322f49d0ba72faf95ae7335b8.avif,,,,,,,,,0,,Color,"Negro, Gris, Gold",0,0,Modelo,"iPhone 12 / 12 Pro, iPhone 12 Pro Max, iPhone 13 / 14, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0
2148,variable,IUKU0005,,Mica de cristal templado acabado mate,1,0,visible,"La mica de cristal templado con acabado mate mantiene tu pantalla libre de huellas y reflejos, ofreciendo una estética limpia, elegante y minimalista. Su diseño anti reflejos mejora la visibilidad en exteriores y protege eficazmente contra golpes, caídas y rasguños.",,,,,,1,,,0,0,,,,,0,,,,MICA,,,,,,,,,,,,0,,Modelo,"iPhone 12, iPhone 12 Pro, iPhone 12 Pro Max, iPhone 13, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,,,,
2167,variable,IUKU0006,,Mica de Cristal Templado con Filtro de Privacidad,1,0,visible,"Su tecnología evita que el contenido sea visible desde ángulos laterales, manteniendo tu privacidad en todo momento. Ideal para quienes quieren una protección completa y, además, evitar miradas indiscretas: la mica antichismosos que necesitas.",,,,,,1,,,0,0,,,,,0,,,,MICA,,,,,,,,,,,,0,,Modelo,"iPhone 12, iPhone 12 Pro, iPhone 12 Pro Max, iPhone 13, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,,,,
2186,variable,IUKU0007,,Mica de Cristal Templado 9D Transparente,1,0,visible,"Su diseño transparente cubre completamente la pantalla, ofreciendo resistencia excepcional contra golpes, caídas, rayones y rasguños. Perfecta para mantener tu dispositivo impecable y protegido ante cualquier eventualidad.",,,,,,1,,,0,0,,,,,0,,,,MICA,,,,,,,,,,,,0,,Modelo,"iPhone 12, iPhone 12 Pro, iPhone 12 Pro Max, iPhone 13, iPhone 13 Pro, iPhone 13 Pro Max, iPhone 14, iPhone 14 Pro, iPhone 14 Pro Max, iPhone 14 Plus, iPhone 15, iPhone 15 Pro, iPhone 15 Pro Max, iPhone 15 Plus, iPhone 16, iPhone 16 Pro, iPhone 16 Pro Max, iPhone 16 Plus",0,0,,,,
2205,variable,IUKU0008,,Protector de Cristal Templado para Módulo de Cámara,1,0,visible,"Protege el módulo de cámaras de tu iPhone con esta mica de cristal templado diseñada para brindar seguridad total. Su diseño de una sola pieza cubre completamente las lentes, mientras que los anillos negros integrados en el cristal reducen el exceso de luz para mejorar la calidad de tus fotografías en condiciones de alta luminosidad. Resistente a golpes, caídas y arañazos. Garantiza la protección de tus cámaras sin comprometer la nitidez de tus fotos.",,,,,,1,,,0,0,,,,,0,,,,MICA,,,,,,,,,,,,0,,Modelo,,0,0,,,,
2001,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 12 / 12 Pro",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,1,,Color,Blanco,,0,Modelo,iPhone 12 / 12 Pro,,0
2002,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 12 Pro Max",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,2,,Color,Blanco,,0,Modelo,iPhone 12 Pro Max,,0
2003,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 / 14",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,3,,Color,Blanco,,0,Modelo,iPhone 13 / 14,,0
2004,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,4,,Color,Blanco,,0,Modelo,iPhone 13 Pro,,0
2005,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 13 Pro Max",1,0,visible,,,,,taxable,parent,1,6,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,5,,Color,Blanco,,0,Modelo,iPhone 13 Pro Max,,0
2006,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Pro",1,0,visible,,,,,taxable,parent,1,9,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,6,,Color,Blanco,,0,Modelo,iPhone 14 Pro,,0
2007,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,7,,Color,Blanco,,0,Modelo,iPhone 14 Pro Max,,0
2008,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 14 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,8,,Color,Blanco,,0,Modelo,iPhone 14 Plus,,0
2009,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,9,,Color,Blanco,,0,Modelo,iPhone 15,,0
2010,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15 Pro",1,0,visible,,,,,taxable,parent,1,0,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,10,,Color,Blanco,,0,Modelo,iPhone 15 Pro,,0
2011,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,11,,Color,Blanco,,0,Modelo,iPhone 15 Pro Max,,0
2012,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 15 Plus",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,12,,Color,Blanco,,0,Modelo,iPhone 15 Plus,,0
2013,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,13,,Color,Blanco,,0,Modelo,iPhone 16,,0
2014,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16 Pro",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,14,,Color,Blanco,,0,Modelo,iPhone 16 Pro,,0
2015,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16 Pro Max",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,15,,Color,Blanco,,0,Modelo,iPhone 16 Pro Max,,0
2016,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Blanco, iPhone 16 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,16,,Color,Blanco,,0,Modelo,iPhone 16 Plus,,0
2017,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 12 / 12 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,17,,Color,Negro,,0,Modelo,iPhone 12 / 12 Pro,,0
2018,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 12 Pro Max",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,18,,Color,Negro,,0,Modelo,iPhone 12 Pro Max,,0
2019,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 13 / 14",1,0,visible,,,,,taxable,parent,1,4,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,19,,Color,Negro,,0,Modelo,iPhone 13 / 14,,0
2020,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 13 Pro",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,20,,Color,Negro,,0,Modelo,iPhone 13 Pro,,0
2021,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 13 Pro Max",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,21,,Color,Negro,,0,Modelo,iPhone 13 Pro Max,,0
2022,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 14 Pro",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,22,,Color,Negro,,0,Modelo,iPhone 14 Pro,,0
2023,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 14 Pro Max",1,0,visible,,,,,taxable,parent,1,5,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,23,,Color,Negro,,0,Modelo,iPhone 14 Pro Max,,0
2024,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 14 Plus",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,24,,Color,Negro,,0,Modelo,iPhone 14 Plus,,0
2025,variation,,,"Funda ultrafina mate magsafe translúcida rigida - Negro, iPhone 15",1,0,visible,,,,,taxable,parent,1,1,,0,0,,,,,0,,199,249,,,,,,,IUKU0001,,,,,,25,,Color,Negro,,0,Modelo,iPhone 15,,0
