id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant,gtin,quantity_to_sell_on_facebook,custom_label_4,rich_text_description,internal_label,external_update_time,external_variant_id, is_woo_all_products_sync
IUKU0013_7187,"Tarjetero Transparente iuku","Fabricado en plástico rígido. Su acabado completamente transparente permite lucir diseño de tus tarjetas; incluye un clip plegable que funciona como base o soporte siendo un accesorio práctico para que disfrutes de tu contenido favorito.",https://iuku.store/wp-content/uploads/2025/03/IMG_9287-scaled-e1747759561640.jpg,https://iuku.store/tienda/tarjetero-transparente-iuku/,"CARTERA","iuku","299MXN","in stock",IUKU0013_7187,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9289-scaled-e1747759593401.jpg,https://iuku.store/wp-content/uploads/2025/03/IMG_9588-scaled.png,https://iuku.store/wp-content/uploads/2025/03/IMG_9286-scaled.jpg","/","199MXN",new,"published",,,,,"2353",,,,,"https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Fabricado en plástico rígido. Su acabado completamente transparente permite lucir diseño de tus tarjetas; incluye un clip plegable que funciona como base o soporte siendo un accesorio práctico para que disfrutes de tu contenido favorito.</span>",['no_shipping_class'],1759346891,7187,
IUKU0017_7186,"MagSafe","Conecta y carga con facilidad gracias a nuestro cargador MagSafe. Su sistema magnético asegura un ajuste perfecto y sin interrupciones, brindando una experiencia práctica y confiable. Con un cable de 1 metro y textura de goma, soporta hasta 30 watts de potencia, ofreciendo la solución perfecta para quienes buscan comodidad, eficiencia y estilo.",https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-22.jpeg,https://iuku.store/tienda/magsafe/,"CARGADOR","iuku","399MXN","in stock",IUKU0017_7186,,"https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-18.jpeg,https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-20.jpeg,https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-21.jpeg,https://iuku.store/wp-content/uploads/2025/03/Cargadores-9.jpeg","/","299MXN",new,"published",,,,,"2353",,,,"4","https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Conecta y carga con facilidad gracias a nuestro cargador MagSafe. Su sistema magnético asegura un ajuste perfecto y sin interrupciones, brindando una experiencia práctica y confiable. Con un cable de 1 metro y textura de goma, soporta hasta 30 watts de potencia, ofreciendo la solución perfecta para quienes buscan comodidad, eficiencia y estilo.</span>",['no_shipping_class'],1759346891,7186,
IUKU0014_7185,"Cartera de Lujo iuku","Experimenta la elegancia y funcionalidad. Diseñada para quienes buscan un accesorio distinguido.



Con un formato tipo tríptico, ofrece múltiples ranuras para organizar tus tarjetas esenciales, mientras que su compatibilidad con MagSafe asegura un ajuste perfecto y seguro. Elegancia y practicidad en cada detalle.",https://iuku.store/wp-content/uploads/2025/03/IMG_9293-scaled.jpg,https://iuku.store/tienda/cartera-de-lujo-iuku/,"CARTERA","iuku","399MXN","in stock",IUKU0014_7185,,"https://iuku.store/wp-content/uploads/2025/03/IMG_9295-scaled.jpg,https://iuku.store/wp-content/uploads/2025/03/IMG_9296-scaled.jpg,https://iuku.store/wp-content/uploads/2025/03/IMG_9319-scaled.jpg","/","299MXN",new,"published",,,,,"2353",,,,"4","https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Experimenta la elegancia y funcionalidad. Diseñada para quienes buscan un accesorio distinguido.</span>



<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Con un formato tipo tríptico, ofrece múltiples ranuras para organizar tus tarjetas esenciales, mientras que su compatibilidad con MagSafe asegura un ajuste perfecto y seguro. Elegancia y practicidad en cada detalle.</span>",['no_shipping_class'],1759346891,7185,
IUKU0016_7184,"Cable USB-C a Lightning (1m)","Diseño alternativo premium al original de Apple. Con textura de goma de alta calidad, ofreciendo la misma sensación y funcionalidad que el cable oficial. Soporta hasta 30 watts de potencia para una carga rápida y eficiente",https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-11.jpeg,https://iuku.store/tienda/cable-usb-c-a-lightning-1m/,"CARGADOR","iuku","199MXN","in stock",IUKU0016_7184,,"https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-12.jpeg,https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-16.jpeg,https://iuku.store/wp-content/uploads/2025/03/L-Cargadores-17.jpeg","/","149MXN",new,"published",,,,,"2353",,,,"7","https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Diseño alternativo premium al original de Apple. Con textura de goma de alta calidad, ofreciendo la misma sensación y funcionalidad que el cable oficial. Soporta hasta 30 watts de potencia para una carga rápida y eficiente</span>",['no_shipping_class'],1759346890,7184,
IUKU0015_7183,"Cable Tejido USB-C a USB-C (1m)","Diseñado para iPhone 15 y 16 en adelante. Con una longitud de 1 metro y un revestimiento reforzado tipo cordón. Ofrece mayor resistencia y una sensación premium. Soporta hasta 60 watts de potencia, garantizando una carga rápida y segura. Una alternativa duradera y de alta calidad.",https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-15.jpeg,https://iuku.store/tienda/cable-tejido-usb-c-a-usb-c-1m/,"CARGADOR","iuku","199MXN","in stock",IUKU0015_7183,,"https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-17.jpeg,https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-19.jpeg,https://iuku.store/wp-content/uploads/2025/05/Micas-de-ceramica-16.jpeg,https://iuku.store/wp-content/uploads/2025/03/C-Cargadores-24.jpeg","/","149MXN",new,"published",,,,,"2353",,,,"3","https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Diseñado para iPhone 15 y 16 en adelante. Con una longitud de 1 metro y un revestimiento reforzado tipo cordón. Ofrece mayor resistencia y una sensación premium. Soporta hasta 60 watts de potencia, garantizando una carga rápida y segura. Una alternativa duradera y de alta calidad.</span>",['no_shipping_class'],1759346890,7183,
IUKU0019_7503,"Funda Hielo Seco","Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.",https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-2.jpeg,https://iuku.store/tienda/funda-hielo-seco/?attribute_modelo=iPhone+17+Pro+Max&attribute_color=Negro,"FUNDA","iuku","299MXN","in stock",IUKU0019_7196,,"https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-7.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-1.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-11.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-8.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-3.jpeg","/","249MXN",new,"published",,"Negro",,,"2353",,,,,"https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.</span>",['no_shipping_class'],1759346941,7503,
IUKU0019_7502,"Funda Hielo Seco","Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.",https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-2.jpeg,https://iuku.store/tienda/funda-hielo-seco/?attribute_modelo=iPhone+17+Pro&attribute_color=Negro,"FUNDA","iuku","299MXN","in stock",IUKU0019_7196,,"https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-7.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-1.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-11.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-8.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-3.jpeg","/","249MXN",new,"published",,"Negro",,,"2353",,,,,"https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.</span>",['no_shipping_class'],1759346941,7502,
IUKU0019_7501,"Funda Hielo Seco","Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.",https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-2.jpeg,https://iuku.store/tienda/funda-hielo-seco/?attribute_modelo=iPhone+17&attribute_color=Negro,"FUNDA","iuku","299MXN","in stock",IUKU0019_7196,,"https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-7.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-1.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-11.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-8.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-3.jpeg","/","249MXN",new,"published",,"Negro",,,"2353",,,,,"https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.</span>",['no_shipping_class'],1759346941,7501,
IUKU0019_7500,"Funda Hielo Seco","Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.",https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-2.jpeg,https://iuku.store/tienda/funda-hielo-seco/?attribute_modelo=iPhone+17+Air&attribute_color=Negro,"FUNDA","iuku","299MXN","in stock",IUKU0019_7196,,"https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-7.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-1.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-11.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-8.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-3.jpeg","/","249MXN",new,"published",,"Negro",,,"2353",,,,,"https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.</span>",['no_shipping_class'],1759346941,7500,
IUKU0019_7499,"Funda Hielo Seco","Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.",https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-2.jpeg,https://iuku.store/tienda/funda-hielo-seco/?attribute_modelo=iPhone+16+Pro+Max&attribute_color=Negro,"FUNDA","iuku","299MXN","in stock",IUKU0019_7196,,"https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-7.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-1.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-11.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-8.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-3.jpeg","/","249MXN",new,"published",,"Negro",,,"2353",,,,"3","https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.</span>",['no_shipping_class'],1759346941,7499,
IUKU0019_7498,"Funda Hielo Seco","Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.",https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-2.jpeg,https://iuku.store/tienda/funda-hielo-seco/?attribute_modelo=iPhone+16+Pro&attribute_color=Negro,"FUNDA","iuku","299MXN","in stock",IUKU0019_7196,,"https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-7.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-1.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-11.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-8.jpeg,https://iuku.store/wp-content/uploads/2025/05/Jelly-Candy-3.jpeg","/","249MXN",new,"published",,"Negro",,,"2353",,,,"2","https://iuku.store/fbcollection/","<span class='OYPEnA font-feature-liga-off font-feature-clig-off font-feature-calt-off text-decoration-none text-strikethrough-none'>Fabricada en dos partes, el interno en plástico rígido con acabado en color solido y el exterior en plástico acabado mate con textura gomosa antideslizante. Diseñada para resistir caídas de alto impacto sin perder el carácter. Compatible con MagSafe; ideal para vestir elegante, viajes complicados, y caídas inesperadas.</span>",['no_shipping_class'],1759346941,7498,
